iter	RMSE
321	191742672.3
322	191742543.4
323	191742503.5
324	191742469.1
325	191742388.5
326	191742321.6
327	191742297.8
328	191742274.9
329	191742161.2
330	191742073.9
331	191742025.6
332	191741973
333	191741951
334	191741871.6
335	191741850.4
336	191741793.8
337	191741774.8
338	191741729.5
339	191741633.4
340	191741609.7
341	191741589.5
342	191741545.8
343	191741485.5
344	191741443.3
345	191741423.8
346	191741337.8
347	191741314.2
348	191741247.4
349	191741206.6
350	191741184.4
351	191741145.1
352	191741139.4
353	191741087.8
354	191741049.8
355	191740993.9
356	191740962
357	191740937.1
358	191740893.4
359	191740873.6
360	191740837.1
361	191740788.7
362	191740769.5
363	191740734.3
364	191740689.2
365	191740676.5
366	191740642.4
367	191740591.3
368	191740565.6
369	191740510.9
370	191740487.8
371	191740443.5
372	191740410.6
373	191740378.8
374	191740336.8
375	191740306.1
376	191740276
377	191740245.1
378	191740217.9
379	191740192.2
380	191740167.2
381	191740143.9
382	191740120.9
383	191740099.6
384	191740055.1
385	191740040.4
386	191739999.5
387	191739986.7
388	191739957.2
389	191739934.9
390	191739895.4
391	191739851
392	191739817.5
393	191739768.7
394	191739748.5
395	191739720.2
396	191739694.9
397	191739671.7
398	191739658.8
399	191739621.9
400	191739594.5
401	191739553.3
402	191739517.6
403	191739490.5
404	191739440.4
405	191739428.4
406	191739392.4
407	191739383.1
408	191739348.9
409	191739326.4
410	191739281.5
411	191739263.7
412	191739218.2
413	191739149.2
414	191739123.9
415	191739088.3
416	191739078
417	191739052
418	191739031
419	191739000.6
420	191738971.1
421	191738966.6
422	191738930.3
423	191738899
424	191738875.5
425	191738856.8
426	191738835.8
427	191738809.7
428	191738787
429	191738783.7
430	191738768.9
431	191738750.3
432	191738738.1
433	191738713.1
434	191738691.2
435	191738676.9
436	191738655.7
437	191738642
438	191738622.8
439	191738615.4
440	191738600.4
441	191738575
442	191738571.9
443	191738545.3
444	191738517.9
445	191738514.9
446	191738471.5
447	191738457.4
448	191738434
449	191738421.7
450	191738394.3
451	191738377.9
452	191738366.8
453	191738354.3
454	191738331
455	191738319.8
456	191738305.1
457	191738299.4
458	191738274.9
459	191738260.7
460	191738239.1
461	191738223.4
462	191738208.3
463	191738172.6
464	191738162.5
465	191738151.5
466	191738132.8
467	191738119.1
468	191738104.1
469	191738094.1
470	191738075.8
471	191738069.7
472	191738039.5
473	191738017.8
474	191738014.6
475	191737976.6
476	191737973.6
477	191737955.8
478	191737944.4
479	191737916.2
480	191737913.4
481	191737892.7
482	191737868.8
483	191737843.4
484	191737818.8
485	191737806.6
486	191737789.1
487	191737763.9
488	191737747.5
489	191737720.2
490	191737697.9
491	191737660.5
492	191737645.6
493	191737625.2
494	191737605.6
495	191737592.9
496	191737583.2
497	191737569.6
498	191737534
499	191737529.9
500	191737521.2
501	191737511.9
502	191737500.5
503	191737487
504	191737451.6
505	191737433.4
506	191737422
507	191737414.6
508	191737392.4
509	191737376.2
510	191737368.8
511	191737365.3
512	191737362
513	191737358.9
514	191737338.3
515	191737335.5
516	191737320.6
517	191737312.1
518	191737265.9
519	191737255
520	191737225.5
521	191737209.7
522	191737166.7
523	191737159
524	191737154.1
525	191737145.1
526	191737121.6
527	191737116
528	191737108.9
529	191737093.5
530	191737078
531	191737074.4
532	191737070.2
533	191737055.1
534	191737048.2
535	191737037.5
536	191737011.3
537	191737005.7
538	191736994
539	191736984.3
540	191736973
541	191736966.6
542	191736946.7
543	191736932.6
544	191736918.5
545	191736911.2
546	191736899.5
547	191736893.4
548	191736879.7
549	191736876.5
550	191736871.9
551	191736859
552	191736850.5
553	191736840.4
554	191736836.6
555	191736828.1
556	191736823.3
557	191736803.9
558	191736783.6
559	191736779.2
560	191736768
561	191736755.9
562	191736754
563	191736742.7
564	191736729.4
565	191736724.8
566	191736723
567	191736715.4
568	191736697.1
569	191736680.7
570	191736676.3
571	191736661.2
572	191736651.2
573	191736643.1
574	191736637.7
575	191736625.1
576	191736619.1
577	191736617.5
578	191736603.2
579	191736593.9
580	191736585.4
581	191736571.1
582	191736567.9
583	191736563.4
584	191736542.4
585	191736532.9
586	191736524.3
587	191736518.8
588	191736512.3
589	191736508.5
590	191736504.3
591	191736499.3
592	191736492.8
593	191736481.7
594	191736469.9
595	191736465.1
596	191736452.9
597	191736451.1
598	191736448.3
599	191736446.6
600	191736442.9
601	191736436.3
602	191736421.3
603	191736416.1
604	191736408.4
605	191736397.6
606	191736389.9
607	191736387.1
608	191736378.4
609	191736373
610	191736361.8
611	191736357.5
612	191736347.8
613	191736342.9
614	191736339.5
615	191736328.8
616	191736325.3
617	191736319.8
618	191736309.6
619	191736303.7
620	191736296.9
621	191736293.5
622	191736287.8
623	191736285.7
624	191736283.5
625	191736277.3
626	191736275.7
627	191736270.6
628	191736266.2
629	191736259.6
630	191736251.3
631	191736241.2
632	191736236.4
633	191736230.8
634	191736223.3
635	191736218.2
636	191736208.9
637	191736200.8
638	191736194.7
639	191736189
640	191736186.1
641	191736183.1
642	191736179.6
643	191736173.5
644	191736168.5
645	191736163.6
646	191736158.4
647	191736155.7
648	191736142
649	191736139.2
650	191736134
651	191736129.8
652	191736121
653	191736113.2
654	191736107.5
655	191736105.1
656	191736102.2
657	191736091.3
658	191736087.2
659	191736080.9
660	191736071.9
661	191736066.1
662	191736059.2
663	191736055.4
664	191736050.4
665	191736043.6
666	191736041.7
667	191736039.3
668	191736037.1
669	191736026.8
670	191736020.2
671	191736017.3
672	191736013.1
673	191736009.5
674	191736005
675	191735999.9
676	191735997.2
677	191735993.7
678	191735987.6
679	191735984.2
680	191735976.6
681	191735969
682	191735965.7
683	191735962.4
684	191735958.4
685	191735951.1
686	191735943.4
687	191735936.4
688	191735926.1
689	191735916.4
690	191735914.4
691	191735910.8
692	191735907.9
693	191735901.8
694	191735895.8
695	191735892.6
696	191735887.5
697	191735885.8
698	191735879.6
699	191735869.6
700	191735863.7
701	191735859.5
702	191735855.3
703	191735849.6
704	191735844.3
705	191735841.1
706	191735834.3
707	191735825.8
708	191735822.8
709	191735818.6
710	191735811.3
711	191735807
712	191735802.4
713	191735798.4
714	191735792.8
715	191735776
716	191735770.7
717	191735766.8
718	191735761.7
719	191735756.7
720	191735751.9
721	191735747.2
722	191735732.4
723	191735727.8
724	191735723.5
725	191735719.3
726	191735715.3
727	191735712
728	191735708.1
729	191735704
730	191735696.9
731	191735689
732	191735685.4
733	191735679.4
734	191735674.2
735	191735669.4
736	191735666.3
737	191735664.5
738	191735659.1
739	191735648.6
740	191735643.4
741	191735639.4
742	191735636.2
743	191735631.3
744	191735627.7
745	191735624
746	191735620.7
747	191735617.4
748	191735614.3
749	191735610.8
750	191735608.5
751	191735605.4
752	191735598.4
753	191735591
754	191735586.5
755	191735583
756	191735580.4
757	191735577.1
758	191735572.4
759	191735566.1
760	191735562.7
761	191735558.3
762	191735552.9
763	191735545.7
764	191735542.6
765	191735536.5
766	191735534.6
767	191735531.7
768	191735528.9
769	191735523.4
770	191735519.6
771	191735516.3
772	191735514.8
773	191735510.5
774	191735508.9
775	191735501.3
776	191735498.3
777	191735493.1
778	191735487.1
779	191735483.6
780	191735478.6
781	191735472.7
782	191735468
783	191735465.5
784	191735462.5
785	191735456
786	191735453.9
787	191735449.7
788	191735448.3
789	191735444.7
790	191735441
791	191735437.2
792	191735430.3
793	191735425.5
794	191735424.4
795	191735421.4
796	191735419
797	191735416.6
798	191735413.9
799	191735410.1
800	191735405.5
801	191735403.3
802	191735401.9
803	191735398.1
804	191735395.4
805	191735393.5
806	191735384.6
807	191735382
808	191735376.6
809	191735374.4
810	191735368.5
811	191735364.5
812	191735362
813	191735356.5
814	191735350.2
815	191735346.6
816	191735341.3
817	191735338.6
818	191735336.3
819	191735333.1
820	191735329.7
821	191735325.9
822	191735323.6
823	191735321
824	191735319.6
825	191735315.8
826	191735313.4
827	191735310.5
828	191735306.6
829	191735305.5
830	191735299.2
831	191735297.1
832	191735295.2
833	191735292.2
834	191735289.9
835	191735287.9
836	191735285.4
837	191735281
838	191735279.5
839	191735277.6
840	191735273.5
841	191735271.3
842	191735269.1
843	191735267.8
844	191735265.3
845	191735262.4
846	191735260.6
847	191735258.2
848	191735255.3
849	191735253
850	191735250.5
851	191735249.2
852	191735246.3
853	191735243.9
854	191735241.7
855	191735238.8
856	191735236.6
857	191735235.7
858	191735232.8
859	191735230.8
860	191735227.4
861	191735220.9
862	191735217.7
863	191735215.9
864	191735213.9
865	191735211.9
866	191735207.9
867	191735200.1
868	191735198
869	191735196.3
870	191735193.6
871	191735190.6
872	191735188.5
873	191735186.2
874	191735182.8
875	191735180.8
876	191735177.8
877	191735175
878	191735173.3
879	191735167.4
880	191735159.7
881	191735155.8
882	191735153
883	191735151
884	191735149.5
885	191735146.8
886	191735145.3
887	191735141.4
888	191735137.7
889	191735134.4
890	191735133
891	191735131
892	191735126.6
893	191735119.2
894	191735117.6
895	191735109.6
896	191735107.8
897	191735105.9
898	191735104.1
899	191735102.3
900	191735100.5
901	191735097.7
902	191735096.5
903	191735091.6
904	191735090.1
905	191735088.7
906	191735086.8
907	191735085.6
908	191735084.4
909	191735082.9
910	191735080.2
911	191735079.1
912	191735077.8
913	191735073.9
914	191735072.8
915	191735071
916	191735065.7
917	191735061.8
918	191735059.9
919	191735057.5
920	191735055.2
921	191735053.9
922	191735051.1
923	191735048
924	191735045.7
925	191735044
926	191735041.9
927	191735039.7
928	191735037.4
929	191735036.4
930	191735034.3
931	191735032.9
932	191735032.1
933	191735030.3
934	191735029
935	191735027.6
936	191735025.8
937	191735024.4
938	191735022.6
939	191735020
940	191735017.3
941	191735015.3
942	191735013
943	191735011.1
944	191735008.2
945	191735005.5
946	191735002.2
947	191735001.5
948	191734994.9
949	191734993.7
950	191734991
951	191734989.8
952	191734986.7
953	191734981.3
954	191734979.1
955	191734976.5
956	191734971.8
957	191734970.1
958	191734969.2
959	191734967.5
960	191734964.8
961	191734961.2
962	191734959.1
963	191734957
964	191734953
965	191734949.9
966	191734948.8
967	191734947.3
968	191734946.3
969	191734944.9
970	191734943.7
971	191734942.6
972	191734938.6
973	191734935.8
974	191734934.4
975	191734932.7
976	191734930.3
977	191734928.7
978	191734928
979	191734926.8
980	191734924.1
981	191734922.6
982	191734919.5
983	191734918.6
984	191734917.2
985	191734915.8
986	191734913.7
987	191734912.8
988	191734910.8
989	191734909.1
990	191734906.6
991	191734905.4
992	191734902.4
993	191734900
994	191734899.1
995	191734897.1
996	191734896.3
997	191734895.2
998	191734893.2
999	191734891.1
